"language","word_n","expected_complexity"
"abk","10","1.184859"
"abu","10","1.213880"
"aco","10","1.147948"
"aeg","10","1.147948"
"alb","10","1.147948"
"ara"," 6","1.428338"
"arc","10","1.147948"
"arm","10","1.147948"
"aym","10","1.147948"
"bag","10","1.147948"
"bam","11","1.126692"
"bas","10","1.147948"
"baw","11","1.126692"
"bkr","10","1.213880"
"bma","10","1.147948"
"bri","10","1.147948"
"brm","10","1.147948"
"bsq","11","1.134433"
"bur","11","1.134433"
"cah"," 6","1.282244"
"cha","10","1.147948"
"chv","14","1.105787"
"cle","11","1.134433"
"cmn","10","1.147948"
"cuu","10","1.147948"
"dam","10","1.147948"
"dio"," 8","1.230794"
"dre"," 8","1.334419"
"eng","11","1.137838"
"eve","10","1.147948"
"ewe","10","1.147948"
"fij","10","1.147948"
"fin","10","1.147948"
"fre","11","1.130280"
"fum"," 6","1.282244"
"gar","11","1.147948"
"geo","11","1.134433"
"ger","10","1.147948"
"goa","10","1.147948"
"gol"," 7","1.263522"
"grk","11","1.126692"
"gua"," 6","1.282244"
"hai","10","1.171666"
"hau","10","1.147948"
"heb","10","1.147948"
"hin","10","1.151337"
"hmo","11","1.126692"
"hun","11","1.126692"
"hup","10","1.147948"
"hve","11","1.166185"
"hzb","11","1.126692"
"igb","10","1.147948"
"ind","10","1.160182"
"ing","11","1.134433"
"iri","11","1.134433"
"irq","10","1.147948"
"jaq","10","1.147948"
"jpn","10","1.147948"
"kab","10","1.147948"
"kan"," 8","1.217191"
"kfe","11","1.126692"
"kha","10","1.147948"
"khl","14","1.105787"
"kho","10","1.147948"
"klv"," 6","1.356441"
"knd"," 9","1.171666"
"knm"," 6","1.282244"
"knr","10","1.147948"
"kor","10","1.147948"
"krb","10","1.213880"
"kse","10","1.147948"
"kty","10","1.144902"
"kyl"," 6","1.341647"
"lak","10","1.147948"
"lan","10","1.147948"
"lat","10","1.147948"
"lav","10","1.147948"
"leg","10","1.147948"
"lez","12","1.124024"
"lkt","10","1.147948"
"mal","10","1.147948"
"mao","10","1.147948"
"map","10","1.147948"
"mmb"," 6","1.515716"
"mnd","10","1.147948"
"mxa","12","1.127240"
"mxc","12","1.130198"
"nav","10","1.147948"
"nbd","11","1.126692"
"ndy","10","1.147948"
"nez","10","1.147948"
"niv","10","1.147948"
"nko","10","1.147948"
"noo"," 6","1.282244"
"nsz"," 8","1.262546"
"ntu"," 8","1.200328"
"ond","10","1.147948"
"orh","10","1.147948"
"otm"," 7","1.292216"
"pai","10","1.213880"
"poh","10","1.147948"
"prs","10","1.147948"
"qim","10","1.147948"
"qui"," 6","1.282244"
"rap","10","1.147948"
"rus","11","1.141692"
"sah","10","1.213880"
"san","10","1.213880"
"sap","10","1.160182"
"sou","10","1.147948"
"spa","10","1.147948"
"sup"," 8","1.257371"
"swa","10","1.147948"
"tab","10","1.213880"
"tag","10","1.160182"
"tel","10","1.147948"
"tha","10","1.147948"
"tms","11","1.146229"
"tsz","11","1.134433"
"tug","10","1.147948"
"tuk","10","1.213880"
"tur","14","1.105787"
"twe"," 8","1.200328"
"vie","10","1.147948"
"yag"," 6","1.282244"
"yct","12","1.168424"
"ykt","12","1.116196"
"zul","10","1.147948"
